Stop ID, Stop Name, Stop Latitude, Stop Longitude
412, Tehnoton, 47.1433943, 27.63558
413, Tehnoton, 47.14336334, 27.63593472
414, Rond Țuțora, 47.14347, 27.64251
415, Tătărași Sud, 47.15618676, 27.62403712
416, Tătărași Nord, 47.1615, 27.60845
417, Ateneu, 47.16233665, 27.60602528
418, Palatul Culturii, 47.159208, 27.587448
419, Tehnopolis, 47.12341477, 27.56789982
420, Bucșinescu, 47.15896596, 27.6001004
421, Tudor Vladimirescu, 47.15659, 27.60335
422, Tudor Vladimirescu, 47.1566, 27.60339
423, Gară, 47.16658874, 27.5700751
424, Gară, 47.16598499, 27.5708712
425, Sfântul Lazăr, 47.1556, 27.59036
426, Sfântul Lazăr, 47.1569, 27.59113
429, Podul de Piatră, 47.157329, 27.576565
431, Spital Pașcanu, 47.16712, 27.59835
432, Complex Roua Residence, 47.18019, 27.59798
433, Complex Roua Residence, 47.18012, 27.59794
434, Str. Locotenent Popovici, 47.15714, 27.62734
435, Str. Aviației, 47.15897, 27.63014
436, Str. Moților, 47.16057, 27.63022
437, Str. Mistrețului, 47.16216, 27.63048
438, Str. Aeroportului, 47.161989, 27.62645
439, Str. A. Obreja, 47.1602, 27.62661
440, Gară, 47.166, 27.57008
441, Școala Ion Ghica, 47.15198, 27.59816
460, Tudor Neculai, 47.139733, 27.578224
461, Tudor Neculai, 47.14276, 27.57262
462, Sos. Voinești, 47.144513, 27.568845
463, Sos. Voinești, 47.143999, 27.570056
464, Centrul Maternal Maternus, 47.147969, 27.561951
465, Centrul Maternal Maternus, 47.147836, 27.562088
466, Complex Sun City, 47.145841, 27.549494
467, Complex Sun City, 47.145779, 27.549408
468, Str. Viilor, 47.145117, 27.539313
469, Str. Viilor, 47.145095, 27.540174
474, Blocuri Șorogari, 47.197727, 27.577273
476, Str. Moara de Vânt, 47.17583, 27.59816
477, Piata Independentei, 47.1691, 27.57802
478, Complex Class Residence, 47.14691, 27.556
479, Complex Class Residence, 47.14673, 27.55522
480, Garaj, 47.1522, 27.60333
481, Garaj, 47.15228, 27.60274
482, Depou D, 47.17102, 27.53593
483, Depou G, 47.16406, 27.57268
484, Colegiul Economic Administrativ, 47.166642, 27.589745
485, Colegiul Economic Administrativ, 47.166802, 27.589496
486, Str. Mihai Eminescu, 47.168997, 27.588197
487, Str. Mihai Eminescu, 47.169071, 27.587958
488, Str. Nicolae Bălcescu, 47.172812, 27.583941
489, Str. Nicolae Bălcescu, 47.172881, 27.583742
