from, to, travel_time
132, 150, 21
133, 97, 263
133, 134, 50
133, 138, 87
133, 172, 124
133, 187, 127
134, 12, 296
134, 13, 285
134, 15, 282
134, 47, 298
134, 95, 299
134, 97, 229
134, 133, 50
134, 139, 243
134, 140, 270
134, 144, 255
135, 9, 192
135, 10, 107
135, 12, 145
135, 24, 242
135, 116, 272
135, 130, 143
135, 131, 92
135, 137, 46
135, 156, 211
135, 169, 220
135, 171, 201
135, 185, 100
136, 11, 258
136, 21, 250
136, 22, 134
136, 23, 160
136, 24, 121
136, 32, 201
136, 33, 229
136, 55, 281
136, 56, 290
136, 67, 235
136, 68, 135
136, 69, 167
136, 70, 262
136, 72, 241
136, 81, 247
136, 116, 283
136, 120, 247
136, 121, 241
136, 169, 203
136, 190, 167
136, 191, 167
137, 9, 184
137, 10, 100
137, 12, 145
137, 24, 234
137, 116, 272
137, 130, 135
137, 131, 91
137, 135, 46
137, 156, 204
137, 169, 220
137, 171, 172
137, 185, 93
138, 132, 16
138, 133, 87
138, 172, 118
138, 187, 121
139, 13, 196
139, 15, 116
139, 47, 104
139, 95, 135
139, 96, 246
139, 134, 243
139, 140, 81
139, 144, 82
140, 13, 223
140, 15, 163
140, 47, 104
140, 95, 182
140, 134, 270
140, 139, 81
140, 141, 33
140, 144, 63
141, 140, 33
141, 142, 47
141, 143, 104
141, 144, 87
142, 141, 47
142, 143, 82
143, 141, 104
143, 142, 82
143, 144, 25
144, 13, 209
144, 15, 149
144, 47, 138
144, 95, 168
144, 96, 259
144, 134, 255
144, 139, 82
144, 140, 63
144, 141, 87
144, 143, 25
145, 40, 287
145, 73, 250
145, 74, 193
145, 81, 250
145, 83, 254
145, 111, 250
145, 114, 281
145, 121, 298
145, 146, 52
146, 145, 52
146, 152, 56
147, 148, 73
147, 152, 50
148, 147, 73
149, 167, 235
150, 10, 176
150, 131, 28
150, 132, 21
150, 171, 192
150, 185, 169
151, 5, 192
151, 6, 85
151, 30, 115
151, 31, 63
151, 49, 278
151, 159, 238
151, 174, 243
152, 146, 56
152, 147, 50
153, 16, 235
153, 17, 249
